Metric,Lambda,Success,MetricDistance,L2Distance,Run,Example
WassersteinAproximation-reg=5,1000,True,1.5595028400421143,8.870075225830078,3,1
WassersteinAproximation-reg=5,1000,True,1.4761250019073486,8.594496726989746,3,2
WassersteinAproximation-reg=5,1000,True,1.934781551361084,8.019774436950684,3,3
WassersteinAproximation-reg=5,1000,True,1.3601229190826416,5.445902347564697,3,4
WassersteinAproximation-reg=5,1000,True,1.0624644756317139,8.950689315795898,3,5
WassersteinAproximation-reg=5,1000,True,0.7463831305503845,5.933746337890625,3,6
WassersteinAproximation-reg=5,1000,True,1.6657127141952515,8.666886329650879,3,7
WassersteinAproximation-reg=5,1000,True,0.8766531348228455,6.456881523132324,3,8
WassersteinAproximation-reg=5,1000,True,1.7536985874176025,10.37940788269043,3,9
WassersteinAproximation-reg=5,1000,True,1.306262731552124,6.949349880218506,3,10
WassersteinAproximation-reg=5,1000,True,1.3904460668563843,7.920318603515625,3,11
WassersteinAproximation-reg=5,1000,True,1.0731900930404663,7.094114303588867,3,12
WassersteinAproximation-reg=5,1000,True,1.1979212760925293,7.233787536621094,3,13
WassersteinAproximation-reg=5,1000,True,1.0587210655212402,6.67681884765625,3,14
WassersteinAproximation-reg=5,1000,True,2.2747795581817627,8.97823429107666,3,15
WassersteinAproximation-reg=5,1000,True,0.9814931154251099,5.989114761352539,3,16
WassersteinAproximation-reg=5,1000,True,1.4887007474899292,8.9567232131958,3,17
WassersteinAproximation-reg=5,1000,True,0.8680143356323242,6.16182804107666,3,18
WassersteinAproximation-reg=5,1000,True,1.7502115964889526,9.612602233886719,3,19
WassersteinAproximation-reg=5,1000,True,0.8558784127235413,6.037491321563721,3,20
WassersteinAproximation-reg=5,1000,True,2.093714475631714,8.46849250793457,3,21
WassersteinAproximation-reg=5,1000,True,1.5602141618728638,6.381294250488281,3,22
WassersteinAproximation-reg=5,1000,True,1.7416393756866455,9.754112243652344,3,23
WassersteinAproximation-reg=5,1000,True,1.1443372964859009,8.072125434875488,3,24
WassersteinAproximation-reg=5,1000,True,1.585012435913086,9.317237854003906,3,25
WassersteinAproximation-reg=5,1000,True,1.2177218198776245,6.506477355957031,3,26
WassersteinAproximation-reg=5,1000,True,1.501562237739563,8.844437599182129,3,27
WassersteinAproximation-reg=5,1000,True,0.6300542950630188,5.242734909057617,3,28
WassersteinAproximation-reg=5,1000,True,1.5234863758087158,7.533127784729004,3,29
WassersteinAproximation-reg=5,1000,True,1.5462837219238281,6.934777736663818,3,30
WassersteinAproximation-reg=5,1000,True,1.764575719833374,9.206486701965332,3,31
WassersteinAproximation-reg=5,1000,True,1.3585269451141357,6.646024227142334,3,32
WassersteinAproximation-reg=5,1000,True,1.7201982736587524,9.68600845336914,3,33
WassersteinAproximation-reg=5,1000,True,1.1090242862701416,7.981828212738037,3,34
WassersteinAproximation-reg=5,1000,True,1.7563766241073608,10.361644744873047,3,35
WassersteinAproximation-reg=5,1000,True,0.9516401290893555,5.871979236602783,3,36
WassersteinAproximation-reg=5,1000,True,1.6286031007766724,7.954668045043945,3,37
WassersteinAproximation-reg=5,1000,True,1.3974319696426392,7.433930397033691,3,38
WassersteinAproximation-reg=5,1000,True,1.8052215576171875,7.836398601531982,3,39
WassersteinAproximation-reg=5,1000,True,1.1006407737731934,7.290014266967773,3,40
WassersteinAproximation-reg=5,1000,True,1.631669044494629,10.714380264282227,3,41
WassersteinAproximation-reg=5,1000,True,1.2301419973373413,7.098994731903076,3,42
WassersteinAproximation-reg=5,1000,True,1.9760663509368896,10.558701515197754,3,43
WassersteinAproximation-reg=5,1000,True,1.5069934129714966,6.202741622924805,3,44
WassersteinAproximation-reg=5,1000,True,1.4945564270019531,9.000476837158203,3,45
WassersteinAproximation-reg=5,1000,True,1.0106221437454224,7.745556831359863,3,46
WassersteinAproximation-reg=5,1000,True,1.257523536682129,6.976431369781494,3,47
WassersteinAproximation-reg=5,1000,True,1.2584779262542725,7.209656715393066,3,48
